word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
hinne,hin-ne,nanne,2/3,3,N,2,1.9,4,479,56,153,191,239,1105,4323,0,-1,0.1499999999999999,4,1,-16,0,0,0,0
hinne,hin-ne,ninde,2/3,3,N,6,1.7,4,479,36,169,176,212,1105,4323,0,3,-0.050000000000000044,4,-19,0,-15,-27,0,0
hinne,hin-ne,ranne,2/3,3,N,4,1.8,4,491,99,153,191,239,1105,4323,0,1,0.050000000000000044,16,44,-16,0,0,0,0
hinne,hin-ne,ringe,2/3,3,N,9,1.55,4,491,71,169,139,234,1105,4323,0,6,-0.19999999999999996,16,16,0,-52,-5,0,0
hinne,hin-ne,ninge,2/3,3,N,6,1.7,4,479,36,169,139,234,1105,4323,0,3,-0.050000000000000044,4,-19,0,-52,-5,0,0
hinne,hin-ne,hande,2/3,3,N,2,1.9,4,475,99,153,176,212,1105,4323,0,-1,0.1499999999999999,0,44,-16,-15,-27,0,0
hinne,hin-ne,hange,2/3,3,N,10,1.5,4,475,99,153,139,234,1105,4323,0,7,-0.25,0,44,-16,-52,-5,0,0
hinne,hin-ne,hilge,2/3,3,N,4,1.8,4,475,55,144,152,234,1105,4323,0,1,0.050000000000000044,0,0,-25,-39,-5,0,0
hinne,hin-ne,nonne,2/3,3,N,1,1.95,4,479,37,51,191,239,1105,4323,0,-2,0.19999999999999996,4,-18,-118,0,0,0,0
hinne,hin-ne,nenne,2/3,3,N,3,1.85,4,479,30,73,191,239,1105,4323,0,0,0.10000000000000009,4,-25,-96,0,0,0,0
hirm,hirm,harm,2/3,2,N,8,1.6,2,65,9,2,12,0,5,-0.1499999999999999,0,1,0,0
hirm,hirm,hilm,2/3,2,N,5,1.75,2,65,8,3,13,0,2,0.0,0,0,1,1
hirm,hirm,hinn,2/3,2,N,6,1.7,2,65,8,1,13,0,3,-0.050000000000000044,0,0,-1,1
hirm,hirm,hilk,2/3,2,N,6,1.7,2,65,8,3,12,0,3,-0.050000000000000044,0,0,1,0
hirm,hirm,hihm,2/3,2,N,3,1.85,2,65,8,2,11,0,0,0.10000000000000009,0,0,0,-1
hirm,hirm,hirk,2/3,2,N,6,1.7,2,65,8,2,14,0,3,-0.050000000000000044,0,0,0,2
hirm,hirm,himp,2/3,2,N,2,1.9,2,65,8,2,12,0,-1,0.1499999999999999,0,0,0,0
hirm,hirm,horm,2/3,2,N,5,1.75,2,65,4,3,12,0,2,0.0,0,-4,1,0
hirm,hirm,hurm,2/3,2,N,5,1.75,2,65,4,3,12,0,2,0.0,0,-4,1,0
hirm,hirm,hihk,2/3,2,N,1,1.95,2,65,8,1,9,0,-2,0.19999999999999996,0,0,-1,-3
idanema,i-da-ne-ma,ibidega,2/3,5,N,0,2.9,8,2496,306,741,322,112,1614,435,298,1586,689,584,1885,6147,0,0,0.25,0,0,0,-124,-82,109,-23,5,0,-112,121,0,0
idanema,i-da-ne-ma,imudega,2/3,5,N,0,2.6,8,2496,306,741,451,89,1459,435,298,1586,689,584,1885,6147,0,0,-0.04999999999999982,0,0,0,5,-105,-46,-23,5,0,-112,121,0,0
idanema,i-da-ne-ma,imidega,2/3,5,N,0,2.7,8,2496,306,741,451,183,1614,435,298,1586,689,584,1885,6147,0,0,0.050000000000000266,0,0,0,5,-11,109,-23,5,0,-112,121,0,0
idanema,i-da-ne-ma,itudega,2/3,5,N,0,2.7,8,2496,306,741,376,255,1459,435,298,1586,689,584,1885,6147,0,0,0.050000000000000266,0,0,0,-70,61,-46,-23,5,0,-112,121,0,0
idanema,i-da-ne-ma,itidega,2/3,5,N,0,2.85,8,2496,306,741,376,139,1614,435,298,1586,689,584,1885,6147,0,0,0.20000000000000018,0,0,0,-70,-55,109,-23,5,0,-112,121,0,0
